US Future/美國期貨,,,,,,,,"需要更多產品請聯繫客服或官網查詢
客服：https://t.me/iticksupport
官網：https://itick.org"
ICEUS,MAC,MSCI All Country World Total Return Future (GTR),MSCI 所有国家/地区全球未来总回报 (GTR),个股,08:30-15:15 (周一-周五),future,us,
CME,MIA,Miami Real Estate Futures,迈阿密房地产期货,个股,08:30-15:15 (周一-周五),future,us,
ICEUS,MIE,MSCI EAFE Climate Change NTR Index Futures,MSCI EAFE 气候变化 NTR 指数期货,个股,08:30-15:15 (周一-周五),future,us,
ICEUS,MIU,MSCI USA Equal Weighted NTR Index Futures,MSCI 美国等权 NTR 指数期货,个股,08:30-15:15 (周一-周五),future,us,
ICEUS,MMA,MSCI All Country World Total Return (TRF) Futures,MSCI 所有国家世界总回报 (TRF) 期货,个股,08:30-15:15 (周一-周五),future,us,
ICEUS,MMA.Y,MSCI All Country World Total Return (TRF) Futures,MSCI 所有国家世界总回报 (TRF) 期货,个股,08:30-15:15 (周一-周五),future,us,
ICEUS,MVM,MSCI Emerging Markets Minimum Volatility NTR USD Index Futures,MSCI 新兴市场最低波动率 NTR 美元指数期货,个股,08:30-15:15 (周一-周五),future,us,
ICEUS,MVW,MSCI World Minimum Volatility NTR USD Index Futures,MSCI 世界最低波动率 NTR 美元指数期货,个股,08:30-15:15 (周一-周五),future,us,
ICEUS,MXC,MSCI ACWI ex China ex HK NTR Index Future,MSCI ACWI 除中国除香港 NTR 指数期货,个股,08:30-15:15 (周一-周五),future,us,
ICEUS,MXK,MSCI EAFE ex HK NTR Future,MSCI EAFE 除香港 NTR 期货,个股,08:30-15:15 (周一-周五),future,us,
CME,NYM,New York Real Estate Futures,纽约房地产期货,个股,08:30-15:15 (周一-周五),future,us,
CME,SDG,San Diego Real Estate Futures,圣地亚哥房地产期货,个股,08:30-15:15 (周一-周五),future,us,
CME,SFR,San Francisco Real Estate Futures,旧金山房地产期货,个股,08:30-15:15 (周一-周五),future,us,
CBOE,VX44,Cboe Volatility Index (VIX) Futures,芝加哥期权交易所波动率指数 (VIX) 期货,个股,08:30-15:15 (周一-周五),future,us,
CBOE,VX45,Cboe Volatility Index (VIX) Futures,芝加哥期权交易所波动率指数 (VIX) 期货,个股,08:30-15:15 (周一-周五),future,us,
CBOE,VX47,Cboe Volatility Index (VIX) Futures,芝加哥期权交易所波动率指数 (VIX) 期货,个股,08:30-15:15 (周一-周五),future,us,
CBOE,VX48,Cboe Volatility Index (VIX) Futures,芝加哥期权交易所波动率指数 (VIX) 期货,个股,08:30-15:15 (周一-周五),future,us,
CBOE,VX49,Cboe Volatility Index (VIX) Futures,芝加哥期权交易所波动率指数 (VIX) 期货,个股,08:30-15:15 (周一-周五),future,us,
CME,WDC,Washington DC Real Estate Futures,华盛顿特区房地产期货,个股,08:30-15:15 (周一-周五),future,us,
CBOE,XBTF,Cboe FTSE Bitcoin Index Futures,芝加哥期权交易所富时比特币指数期货,个股,08:30-15:15 (周一-周五),future,us,
CME,BTC,Bitcoin Futures,比特币期货,货币,17:00-16:00 (周日-周五),future,us,
CME,ETH,Ether Futures,以太坊期货,货币,17:00-16:00 (周日-周五),future,us,
CME,MBT,Micro Bitcoin Futures,微型比特币期货,货币,17:00-16:00 (周日-周五),future,us,
CME,6E,Euro FX Futures,欧元外汇期货,货币,17:00-16:00 (周日-周五),future,us,
ICEUS,DX,US Dollar Index® Futures,美元指数®期货,货币,17:00-16:00 (周日-周五),future,us,
CME,6J,Japanese Yen Futures,日元期货,货币,17:00-16:00 (周日-周五),future,us,
CME,M6E,Micro EUR/USD Futures,微型欧元/美元期货,货币,17:00-16:00 (周日-周五),future,us,
CME,6B,British Pound Futures,英镑期货,货币,17:00-16:00 (周日-周五),future,us,
CME,SOL,SOL Futures,SOL 期货,货币,17:00-16:00 (周日-周五),future,us,
CME,MET,Micro Ether Futures,微型以太坊期货,货币,17:00-16:00 (周日-周五),future,us,
CME,6A,Australian Dollar Futures,澳元期货,货币,17:00-16:00 (周日-周五),future,us,
CME,M6B,Micro GBP/USD Futures,微型英镑/美元期货,货币,17:00-16:00 (周日-周五),future,us,
CME,6N,New Zealand Dollar Futures,新西兰元期货,货币,17:00-16:00 (周日-周五),future,us,
CME,MJY,Micro JPY/USD Futures,微型日元/美元期货,货币,17:00-16:00 (周日-周五),future,us,
CME,6C,Canadian Dollar Futures,加元期货,货币,17:00-16:00 (周日-周五),future,us,
CME,6S,Swiss Franc Futures,瑞士法郎期货,货币,17:00-16:00 (周日-周五),future,us,
CME,CNH,Offshore Chinese Renminbi (CNH) Futures,离岸人民币 (CNH) 期货,货币,17:00-16:00 (周日-周五),future,us,
CME,MSL,Micro SOL Futures,微型 SOL 期货,货币,17:00-16:00 (周日-周五),future,us,
CME,MCD,Micro CAD/USD Futures,微型加元/美元期货,货币,17:00-16:00 (周日-周五),future,us,
CME,E7,E-mini Euro FX Futures,E-迷你欧元外汇期货,货币,17:00-16:00 (周日-周五),future,us,
CME,M6A,Micro AUD/USD Futures,微型澳元/美元期货,货币,17:00-16:00 (周日-周五),future,us,
CME,XRP,XRP Futures,瑞波币期货,货币,17:00-16:00 (周日-周五),future,us,
CME,6M,Mexican Peso Futures,墨西哥比索期货,货币,17:00-16:00 (周日-周五),future,us,
CME,QBTC,Spot-Quoted Bitcoin Futures,现货报价的比特币期货,货币,17:00-16:00 (周日-周五),future,us,
CME,6EP,Nearby BTIC+ on EUR/USD Futures,欧元/美元期货附近的 BTIC+,货币,17:00-16:00 (周日-周五),future,us,
CME,J7,E-mini Japanese Yen Futures,E-迷你日元期货,货币,17:00-16:00 (周日-周五),future,us,
CME,MSF,Micro CHF/USD Futures,微型瑞士法郎/美元期货,货币,17:00-16:00 (周日-周五),future,us,
CME,6L,Brazilian Real Futures,巴西雷亚尔期货,货币,17:00-16:00 (周日-周五),future,us,
ICEUS,DX.Z,US Dollar Index® Futures (TAS),美元指数®期货 (TAS),货币,17:00-16:00 (周日-周五),future,us,
CME,ETE,Ether Euro Futures,以太坊欧元期货,货币,17:00-16:00 (周日-周五),future,us,
ICEUS,KEO,Dollar Based Currency Pairs Euro/US Dollar,基于美元的货币对 欧元/美元,货币,17:00-16:00 (周日-周五),future,us,
CME,KRW,Korean Won Futures,韩元期货,货币,17:00-16:00 (周日-周五),future,us,
CME,MIR,Micro INR/USD Futures,微型印度卢比/美元期货,货币,17:00-16:00 (周日-周五),future,us,
CME,MNH,Micro USD/CNH Futures,微型美元/离岸人民币期货,货币,17:00-16:00 (周日-周五),future,us,
ICEUS,MP,Dollar Based Currency Pairs British Pound/US Dollar Futures,美元货币对英镑/美元期货,货币,17:00-16:00 (周日-周五),future,us,
CME,NOK,Norwegian Krone Futures,挪威克朗期货,货币,17:00-16:00 (周日-周五),future,us,
ICEUS,PC,Cross Currency Pairs British Pound Sterling/Canadian Dollar Futures,交叉货币对英镑/加元期货,货币,17:00-16:00 (周日-周五),future,us,
CME,RMB,Onshore Chinese Renminbi (CNY) Futures,在岸人民币 (CNY) 期货,货币,17:00-16:00 (周日-周五),future,us,
CME,SIR,Indian Rupee/USD Futures,印度卢比/美元期货,货币,17:00-16:00 (周日-周五),future,us,
CME,SLB,BTIC on SOL Futures against CME CF Solana-Dollar Reference Rate,BTIC 的 SOL 期货对 CME CF Solana 美元参考利率,货币,17:00-16:00 (周日-周五),future,us,
CME,TMS,TAS on Micro SOL Futures,Micro SOL 期货上的 TAS,货币,17:00-16:00 (周日-周五),future,us,
CME,TSL,TAS on SOL Futures,SOL 期货上的 TAS,货币,17:00-16:00 (周日-周五),future,us,
CME,XLB,BTIC on XRP Futures against CME CF XRP-Dollar Reference Rate,BTIC 的 XRP 期货兑 CME CF XRP 美元参考汇率,货币,17:00-16:00 (周日-周五),future,us,
CME,6Z,South African Rand Futures,南非兰特期货,货币,17:00-16:00 (周日-周五),future,us,
CME,ABB,BTIC on Bitcoin futures against APAC Close (Bitcoin Reference Rate APAC - BRRAP),BTIC 的比特币期货兑亚太地区收盘价（亚太地区比特币参考汇率 - BRRAP）,货币,17:00-16:00 (周日-周五),future,us,
CME,ACD,Australian Dollar/Canadian Dollar Futures,澳元/加元期货,货币,17:00-16:00 (周日-周五),future,us,
CME,AHB,BTIC on Micro Ether futures against APAC Close (Ether-Dollar Reference Rate APAC - ETHUSD_AP),BTIC 微型以太坊期货兑亚太地区收盘价（亚太地区以太坊美元参考汇率 - ETHUSD_AP）,货币,17:00-16:00 (周日-周五),future,us,
CME,AJY,Australian Dollar/Japanese Yen Futures,澳元/日元期货,货币,17:00-16:00 (周日-周五),future,us,
CME,AMB,BTIC on Micro Bitcoin futures against APAC Close (Bitcoin Reference Rate APAC - BRRAP),BTIC 微型比特币期货兑亚太地区收盘价（亚太地区比特币参考汇率 - BRRAP）,货币,17:00-16:00 (周日-周五),future,us,
CME,ANE,Australian Dollar/New Zealand Dollar Futures,澳元/新西兰元期货,货币,17:00-16:00 (周日-周五),future,us,
ICEUS,AR,Cross Currency Pairs Australian Dollar/New Zealand Dollar Futures,交叉货币对澳元/新西兰元期货,货币,17:00-16:00 (周日-周五),future,us,
ICEUS,AS,Cross Currency Pairs Australian Dollar/Canadian Dollar Futures,交叉货币对澳元/加元期货,货币,17:00-16:00 (周日-周五),future,us,
CME,ATB,BTIC on Ether futures against APAC Close (Ether-Dollar Reference Rate APAC - ETHUSD_AP),BTIC 以太坊期货兑亚太地区收盘价（亚太地区以太坊美元参考汇率 - ETHUSD_AP）,货币,17:00-16:00 (周日-周五),future,us,
CME,BAB,BTIC on Bitcoin Friday Futures against APAC Close,BTIC 周五比特币期货兑亚太地区收盘,货币,17:00-16:00 (周日-周五),future,us,
CME,BFB,BTIC on Bitcoin Friday Futures,BTIC 比特币周五期货,货币,17:00-16:00 (周日-周五),future,us,
CME,BFF,Bitcoin Friday Futures,比特币周五期货,货币,17:00-16:00 (周日-周五),future,us,
CME,BLB,BTIC on Bitcoin Friday Futures against London Close,BTIC 周五比特币期货兑伦敦收盘价,货币,17:00-16:00 (周日-周五),future,us,
CME,BTE,Bitcoin Euro Futures,比特币欧元期货,货币,17:00-16:00 (周日-周五),future,us,
CME,CHP,Chilean Peso/US Dollar (CLP/USD) Futures,智利比索/美元（CLP/USD）期货,货币,17:00-16:00 (周日-周五),future,us,
CME,CJY,Canadian Dollar/Japanese Yen Futures,加元/日元期货,货币,17:00-16:00 (周日-周五),future,us,
CME,CZK,Czech Koruna Futures,捷克克朗期货,货币,17:00-16:00 (周日-周五),future,us,
CME,EAD,Euro/Australian Dollar Futures,欧元/澳元期货,货币,17:00-16:00 (周日-周五),future,us,
CME,EBM,Micro Bitcoin Euro Futures,微型比特币欧元期货,货币,17:00-16:00 (周日-周五),future,us,
CME,EBR,Ether/Bitcoin Ratio Futures,以太币/比特币比率期货,货币,17:00-16:00 (周日-周五),future,us,
CME,ECD,Euro/Canadian Dollar Futures,欧元/加元期货,货币,17:00-16:00 (周日-周五),future,us,
CME,ECK,Czech Koruna/Euro (CZK/EUR) Cross Rate Futures,捷克克朗/欧元 (CZK/EUR) 交叉汇率期货,货币,17:00-16:00 (周日-周五),future,us,
CME,EEM,Micro Ether Euro Futures,微型以太坊欧元期货,货币,17:00-16:00 (周日-周五),future,us,
CME,EHF,Hungarian Forint/Euro (HUF/EUR) Cross Rate Futures,匈牙利福林/欧元（HUF/EUR）交叉汇率期货,货币,17:00-16:00 (周日-周五),future,us,
CME,ENK,Euro/Norwegian Krone Futures,欧元/挪威克朗期货,货币,17:00-16:00 (周日-周五),future,us,
CME,ENZ,EUR/NZD Futures,欧元/新西兰元期货,货币,17:00-16:00 (周日-周五),future,us,
CME,EPZ,Polish Zloty/Euro (PLN/EUR) Cross Rate Futures,波兰兹罗提/欧元（PLN/EUR）交叉汇率期货,货币,17:00-16:00 (周日-周五),future,us,
CME,ESK,Euro/Swedish Krona Futures,欧元/瑞典克朗期货,货币,17:00-16:00 (周日-周五),future,us,
ICEUS,ETR,Cross Currency Pairs Turkish Lira/Euro,交叉货币对 土耳其里拉/欧元,货币,17:00-16:00 (周日-周五),future,us,
ICEUS,EZ,Euro Currency Pairs Euro/Czech Koruna Futures,欧元货币对 欧元/捷克克朗期货,货币,17:00-16:00 (周日-周五),future,us,
ICEUS,GN,Cross Currency Pairs British Pound Sterling/New Zealand Dollar Futures,交叉货币对英镑/新西兰元期货,货币,17:00-16:00 (周日-周五),future,us,
ICEUS,HR,Euro Currency Pairs Euro/Hungarian Forint Futures,欧元货币对 欧元/匈牙利福林期货,货币,17:00-16:00 (周日-周五),future,us,
CME,HUF,Hungarian Forint Futures,匈牙利福林期货,货币,17:00-16:00 (周日-周五),future,us,
ICEUS,HY,Cross Currency Pairs Canadian Dollar/Japanese Yen Futures,交叉货币对加拿大元/日元期货,货币,17:00-16:00 (周日-周五),future,us,
CME,IDR,IDR/USD Futures,印尼盾/美元期货,货币,17:00-16:00 (周日-周五),future,us,
CME,ILS,Israeli Shekel Futures,以色列谢克尔期货,货币,17:00-16:00 (周日-周五),future,us,
ICEUS,KAU,Dollar Based Currency Pairs Aus. Dollar/US Dollar,基于美元的货币对澳元。美元/美元,货币,17:00-16:00 (周日-周五),future,us,
ICEUS,KEJ,Euro Currency Pairs Euro/Japanese Yen Futures,欧元货币对 欧元/日元期货,货币,17:00-16:00 (周日-周五),future,us,
ICEUS,KEP,Euro Currency Pairs Euro/Canadian Dollar Futures,欧元货币对 欧元/加元期货,货币,17:00-16:00 (周日-周五),future,us,
ICEUS,KGB,Euro Currency Pairs Euro/British Pound Futures,欧元货币对 欧元/英镑期货,货币,17:00-16:00 (周日-周五),future,us,
ICEUS,KJ,Cross Currency Pairs Swedish Krona/Japanese Yen Futures,交叉货币对瑞典克朗/日元期货,货币,17:00-16:00 (周日-周五),future,us,
ICEUS,KMF,Dollar Based Currency Pairs Swiss Franc/US Dollar,基于美元的货币对 瑞士法郎/美元,货币,17:00-16:00 (周日-周五),future,us,
ICEUS,KMP,Dollar Based Currency Pairs Mexican peso/US dollar,基于美元的货币对 墨西哥比索/美元,货币,17:00-16:00 (周日-周五),future,us,
ICEUS,KOL,Euro Currency Pairs Euro/Norwegian Krone Futures,欧元货币对 欧元/挪威克朗期货,货币,17:00-16:00 (周日-周五),future,us,
ICEUS,KRA,Euro Currency Pairs Euro/Australian Dollar Futures (125),欧元货币对欧元/澳元期货 (125),货币,17:00-16:00 (周日-周五),future,us,
ICEUS,KRK,Euro Currency Pairs Euro/Swedish Krona Futures,欧元货币对 欧元/瑞典克朗期货,货币,17:00-16:00 (周日-周五),future,us,
ICEUS,KRZ,Euro Currency Pairs Euro/Swiss Franc Futures,欧元货币对 欧元/瑞士法郎期货,货币,17:00-16:00 (周日-周五),future,us,
ICEUS,KSN,Dollar Based Currency Pairs Japanese Yen/US Dollar,基于美元的货币对 日元/美元,货币,17:00-16:00 (周日-周五),future,us,
ICEUS,KSV,Dollar Based Currency pairs Canadian Dollar/US Dollar,基于美元的货币对 加元/美元,货币,17:00-16:00 (周日-周五),future,us,
ICEUS,KX,Dollar Based Currency Pairs US Dollar/Swedish Krona,基于美元的货币对 美元/瑞典克朗,货币,17:00-16:00 (周日-周五),future,us,
ICEUS,KY,Cross Currency Pairs Norwegian Krone/Japanese Yen Futures,交叉货币对挪威克朗/日元期货,货币,17:00-16:00 (周日-周五),future,us,
ICEUS,KZX,Dollar Based Currency Pairs New Zealand Dollar/US Dollar Futures,美元货币对新西兰元/美元期货,货币,17:00-16:00 (周日-周五),future,us,
ICEUS,KZY,Cross Currency Pairs Swiss Franc/Japanese Yen Futures,交叉货币对瑞士法郎/日元期货,货币,17:00-16:00 (周日-周五),future,us,
CME,MXP,Micro XRP Futures,微型瑞波币期货,货币,17:00-16:00 (周日-周五),future,us,
ICEUS,NJ,Cross Currency Pairs Norwegian Krone/Swedish Krona Futures,交叉货币对挪威克朗/瑞典克朗期货,货币,17:00-16:00 (周日-周五),future,us,
CME,NJY,NZD/JPY Futures,新西兰元/日元期货,货币,17:00-16:00 (周日-周五),future,us,
CME,NSK,NOK/SEK Futures,挪威克朗/瑞典克朗期货,货币,17:00-16:00 (周日-周五),future,us,
ICEUS,NT,Dollar Based Currency Pairs US Dollar/Norw. Krone,基于美元的货币对 美元/挪威。克朗,货币,17:00-16:00 (周日-周五),future,us,
CME,NZC,NZD/CAD Futures,新西兰元/加元期货,货币,17:00-16:00 (周日-周五),future,us,
CME,OLB,BTIC on Micro SOL Futures against CME CF Solana-Dollar Reference Rate,BTIC 的 Micro SOL 期货针对 CME CF Solana 美元参考利率,货币,17:00-16:00 (周日-周五),future,us,
CME,ONB,BTIC on Micro SOL Futures against CME CF Solana-Dollar Reference Rate New York Variant,BTIC 的 Micro SOL 期货针对 CME CF Solana 美元参考利率纽约变体,货币,17:00-16:00 (周日-周五),future,us,
CME,PAD,GBP/AUD Futures,英镑/澳元期货,货币,17:00-16:00 (周日-周五),future,us,
CME,PCD,GBP/CAD Futures,英镑/加元期货,货币,17:00-16:00 (周日-周五),future,us,
CME,PJY,British Pound/Japanese Yen Futures,英镑/日元期货,货币,17:00-16:00 (周日-周五),future,us,
ICEUS,PK,Cross Currency Pairs British Pound Sterling/Norwegian Krone Futures,交叉货币对英镑/挪威克朗期货,货币,17:00-16:00 (周日-周五),future,us,
ICEUS,PLE,Cross Currency Pairs Polish Zloty/Euro,交叉货币对 波兰兹罗提/欧元,货币,17:00-16:00 (周日-周五),future,us,
CME,PLN,Polish Zloty Futures,波兰兹罗提期货,货币,17:00-16:00 (周日-周五),future,us,
CME,PNK,GBP/NOK Futures,英镑/挪威克朗期货,货币,17:00-16:00 (周日-周五),future,us,
ICEUS,PS,Cross Currency Pairs British Pound Sterling/Swedish Krona Futures,交叉货币对英镑/瑞典克朗期货,货币,17:00-16:00 (周日-周五),future,us,
CME,PSF,British Pound/Swiss Franc Futures,英镑/瑞士法郎期货,货币,17:00-16:00 (周日-周五),future,us,
CME,PSK,GBP/SEK Futures,英镑/瑞典克朗期货,货币,17:00-16:00 (周日-周五),future,us,
ICEUS,PZ,Cross Currency Pairs British Pound Sterling/South African Rand Futures,交叉货币对英镑/南非兰特期货,货币,17:00-16:00 (周日-周五),future,us,
ICEUS,QA,Cross Currency Pairs British Pound Sterling/Australian Dollar Futures,交叉货币对英镑/澳元期货,货币,17:00-16:00 (周日-周五),future,us,
CME,QEF,Spot-Quoted Ether Cleared Futures (OI View),现货报价以太坊清算期货（OI 视图）,货币,17:00-16:00 (周日-周五),future,us,
CME,QETH,Spot-Quoted Ether Futures,现货报价的以太坊期货,货币,17:00-16:00 (周日-周五),future,us,
CME,QTF,Spot-Quoted Bitcoin Futures (OI View),现货报价的比特币期货（OI 视图）,货币,17:00-16:00 (周日-周五),future,us,
CME,RF,Euro/Swiss Franc Futures,欧元/瑞士法郎期货,货币,17:00-16:00 (周日-周五),future,us,
CME,RLB,BTIC on Micro XRP Futures against CME CF XRP-Dollar Reference Rate,BTIC 微型 XRP 期货兑 CME CF XRP 美元参考汇率,货币,17:00-16:00 (周日-周五),future,us,
CME,RME,Chinese Renminbi/Euro Futures,人民币/欧元期货,货币,17:00-16:00 (周日-周五),future,us,
CME,RNB,BTIC on Micro XRP Futures against CME CF XRP-Dollar Reference Rate New York Variant,BTIC 推出微型 XRP 期货与 CME CF XRP 美元参考利率纽约变体,货币,17:00-16:00 (周日-周五),future,us,
CME,RP,Euro/British Pound Futures,欧元/英镑期货,货币,17:00-16:00 (周日-周五),future,us,
CME,RY,Euro/Japanese Yen Futures,欧元/日元期货,货币,17:00-16:00 (周日-周五),future,us,
CME,SEK,Swedish Krona Futures,瑞典克朗期货,货币,17:00-16:00 (周日-周五),future,us,
CME,SGD,SGD/USD Futures,新元/美元期货,货币,17:00-16:00 (周日-周五),future,us,
